,background,justClass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,weapons,castingStat,processedRace,processedSpells,processedWeapons,levelGroup,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,castCha,castInt,castWis,castCon,castDex,castStr,simpleWeapon,martialWeapon,rangedWeapon,num_feats,num_spells,multiClass
0,Knight,Warlock,4,Fighting Initiate,29,14,9,16,12,12,8,18,History|Investigation|Deception|Intimidation|Persuasion,"Crossbow, light|Dagger|Mace|Longsword",Cha,Human,Eldritch Blast*0|Create Bonfire*0|Friends*0|Hellish Rebuke*1|Hex*1|Branding Smite*2|Mirror Image*2|Misty Step*2,"Crossbow, Light|Dagger|Mace|Longsword",4-7,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,8,0
1,Knight,Warlock,1,Fighting Initiate,9,13,10,15,13,12,8,16,History|Investigation|Deception|Intimidation|Persuasion,"Crossbow, light|Dagger|Mace",Cha,Human,,"Crossbow, Light|Dagger|Mace",1-3,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2,Knight,Warlock,3,,28,12,11,14,14,11,13,19,Investigation|Nature|Intimidation|Persuasion,Dagger|Quarterstaff|Bite|Claw|Eldritch Blast,Cha,Shifter,Chill Touch*0|Eldritch Blast*0|Fire Bolt*0|Mage Hand*0|Thorn Whip*0|Ice Knife*1|Shield*1|Expeditious Retreat*1|Hellish Rebuke*1|Illusory Script*1|Mirror Image*2,Dagger|Quarterstaff|||,1-3,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,0
3,Knight,Sorcerer,4,,20,11,14,12,12,14,11,16,History|Religion|Insight|Persuasion,"Crossbow, light|Dagger",Cha,Yaun-Ti,,"Crossbow, Light|Dagger",4-7,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,Urchin,Rogue,3,,29,15,8,17,14,10,15,12,Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,"Rapier|Shortbow|Dagger|Crossbow, Light",Int,Half-Elf,,"Rapier|Shortbow|Dagger|Crossbow, Light",1-3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
5,Hermit,Sorcerer,5,,37,13,12,16,16,12,13,19,Religion|Insight|Medicine|Perception|Deception,Dagger|Dagger,Cha,Eladrin,,Dagger|Dagger,4-7,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,Sage,Wizard,1,,8,12,9,14,15,16,13,11,Arcana|History|Investigation|Insight,Quarterstaff,Int,Human,Mage Hand*0|Fire Bolt*0|Create Bonfire*0|Magic Missile*1|Snare*1|*|Tasha's Hideous Laughter*1|*|Burning Hands*1,Quarterstaff,1-3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0
7,Sage,Artificer,7,Squat Nimbleness,50,17,13,18,15,19,14,12,Athletics|Sleight of Hand|Arcana|History|Investigation,"Dagger|Quarterstaff|Crossbow, light|Crossbow, hand",Int,Halfling,Fire Bolt*0|Mage Hand*0|Mold Earth*0|Shield*1|Thunderwave*1|Catapult*1|Absorb Elements*1|Expeditious Retreat*1|*|Scorching Ray*2|Pyrotechnics*2|Shatter*2|Heat Metal*2,"Dagger|Quarterstaff|Crossbow, Light|Crossbow, hand",4-7,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,13,0
8,Entertainer,Paladin,1,,12,14,8,16,15,10,12,14,Acrobatics|Stealth|Intimidation|Performance|Persuasion,Longsword|Rapier|Javelin,Cha,Warforged,,Longsword|Rapier|Javelin,1-3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
9,Smuggler,Rogue,4,Keen Mind,36,15,10,16,12,12,10,16,Athletics|Stealth|Insight|Perception|Deception|Persuasion,Shortsword|OH Dagger|Shortbow,Int,Tiefling,Friends*0|Mage Hand*0|Prestidigitation*0|Disguise Self*1|Fog Cloud*1|Shield*1|*,Shortsword|Dagger|Shortbow,4-7,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,7,0
